id_personne;code_dept_naiss;code_lim_jur;code_pays_naiss;code_pays_nat_1;code_sit_familiale;intitule_lieu_naissance
113140;NULL;NULL;MA;FR;1;CASABLANCA
113160;16;NULL;FR;FR;2;ANGOULEME
113440;NULL;NULL;DE;FR;3;ALLEMAGNE
113880;NULL;NULL;FR;FR;7;
113970;18;NULL;FR;FR;7;BOURGES
114580;36;NULL;FR;FR;2;PAULNAY
114750;24;NULL;FR;FR;2;PERIGUEUX
115110;NULL;NULL;FR;FR;7;
115520;18;NULL;FR;FR;2;BOURGES
116080;18;NULL;FR;FR;2;GENOUILLY
116840;92;NULL;FR;FR;2;PUTEAUX
117400;NULL;NULL;FR;FR;7;
117650;18;NULL;FR;FR;2;BOURGES
117760;21;NULL;FR;FR;7;DIJON
118190;NULL;NULL;DZ;FR;7;MASCARA
118330;NULL;NULL;FR;FR;1;
118510;21;NULL;FR;FR;1;BEAUNE
118710;21;NULL;FR;FR;2;POUILLY SUR VINGEANNE
118950;21;NULL;FR;FR;2;SANTOSSE
119310;71;NULL;FR;FR;7;MACON
119550;1;NULL;FR;FR;7;BEAUPONT
119750;89;NULL;FR;FR;2;JOIGNY
120070;21;NULL;FR;FR;7;DIJON
120980;71;NULL;FR;FR;2;PARAY LE MONIAL
121050;NULL;NULL;FR;FR;3;
121220;NULL;NULL;FR;FR;2;
121450;71;NULL;FR;FR;2;TOURNUS
122150;21;NULL;FR;FR;2;NUITS ST GEORGES
122220;NULL;NULL;FR;FR;2;
122300;58;NULL;FR;FR;2;CLAMECY
122430;21;NULL;FR;FR;2;DIJON
123130;NULL;NULL;FR;FR;2;
123420;75;NULL;FR;FR;2;PARIS
123450;NULL;NULL;FR;FR;7;
123590;63;NULL;FR;FR;7;OLLIERGUES
124120;21;NULL;FR;FR;2;DIJON
124480;21;NULL;FR;FR;2;DIJON
124590;21;NULL;FR;FR;7;DIJON
125150;39;NULL;FR;FR;2;LONS LE SAUNIER
125260;21;NULL;FR;FR;2;DIJON
125410;NULL;NULL;FR;FR;2;
125470;21;NULL;FR;FR;2;DIJON
125780;21;NULL;FR;FR;2;DIJON
127290;66;NULL;FR;FR;7;PERPIGNAN
127350;71;NULL;FR;FR;7;EPIGNAC
127560;NULL;NULL;FR;FR;2;
127610;21;NULL;FR;FR;1;DIJON
127950;71;NULL;FR;FR;7;AUTUN
128030;51;NULL;FR;FR;7;CHALONS SUR MARNE
128040;21;NULL;FR;FR;2;BEAUNE
128280;NULL;NULL;DZ;FR;2;ORAN
128800;69;NULL;FR;FR;7;LYON
129910;NULL;NULL;FR;FR;7;
130160;NULL;NULL;FR;FR;2;
130210;21;NULL;FR;FR;2;DIJON
130680;71;NULL;FR;FR;2;CHALON SUR SAONE
131210;70;NULL;FR;FR;1;ECHENOZ LA MELINE
132000;NULL;NULL;FR;FR;1;
132500;21;NULL;FR;FR;2;LAMARCHE SUR SAONE
132640;NULL;NULL;FR;FR;2;
132710;21;NULL;FR;FR;7;LACANCHE
132830;71;NULL;FR;FR;2;FONTAINES
132890;25;NULL;FR;FR;2;BESANCON
133250;21;NULL;FR;FR;1;LA MOTTE-TERNANT
133670;35;NULL;FR;FR;2;LA BOUESSIERE
133940;28;NULL;FR;FR;2;MOTTEREAU
134100;28;NULL;FR;FR;2;COURVILLE SUR EURE
134320;49;NULL;FR;FR;2;BEAUFORT EN VALLLEE
134580;28;NULL;FR;FR;7;LE COUDRAY
134870;28;NULL;FR;FR;2;DREUX
135130;28;NULL;FR;FR;2;ST MAUR SUR LOIR
135160;28;NULL;FR;FR;2;ST AUBIN DES BOIS
135170;28;NULL;FR;FR;1;CHARTRES
135420;76;NULL;FR;FR;5;LONGUEVILLE S SCIE
135530;86;NULL;FR;FR;2;CHALANDRAY
135730;28;NULL;FR;FR;2;CHARTRES
135920;40;NULL;FR;FR;2;ST LON LES MINES
135990;28;NULL;FR;FR;2;VILLAMPUY
136080;37;NULL;FR;FR;2;TOURS
137400;54;NULL;FR;FR;2;NANCY
137420;61;NULL;FR;FR;2;FLERS
137500;41;NULL;FR;FR;7;VILLIERS SUR LOIRE
137560;54;NULL;FR;FR;2;NANCY
138080;971;NULL;FR;FR;6;ST JOSEPH
138170;18;NULL;FR;FR;2;CHATENEUF SUR CHER
138200;35;NULL;FR;FR;2;RENNES
138560;36;1;FR;FR;5;LANGE
139130;NULL;NULL;FR;FR;7;
139370;NULL;NULL;FR;FR;7;
